Description	Resource	Path	Location	Type
The method getEvents(String) is undefined for the type HttpClientLite	GameUI.java	/client/src/application	line 371	Java Problem
The method of(String, String, String, String, String, ((result == null) ? "" : result), String, ((r.pendingActionFor == null) ? "" : r.pendingActionFor)) is undefined for the type Map	AngerServer.java	/server/src/main/java/com/anger/server	line 160	Java Problem
The method of(String, String, String, String, String, String, String, boolean) is undefined for the type Map	AngerServer.java	/server/src/main/java/com/anger/server	line 228	Java Problem
The method of(String, String) is undefined for the type Map	AngerServer.java	/server/src/main/java/com/anger/server	line 138	Java Problem
The method of(String, String) is undefined for the type Map	AngerServer.java	/server/src/main/java/com/anger/server	line 256	Java Problem
The method readAllBytes() is undefined for the type InputStream	AngerServer.java	/server/src/main/java/com/anger/server	line 69	Java Problem
Type mismatch: cannot convert from element type Map.Entry<String,Object> to var	AngerServer.java	/server/src/main/java/com/anger/server	line 114	Java Problem
var cannot be resolved to a type	AngerServer.java	/server/src/main/java/com/anger/server	line 114	Java Problem
var cannot be resolved to a type	AngerServer.java	/server/src/main/java/com/anger/server	line 131	Java Problem
var cannot be resolved to a type	AngerServer.java	/server/src/main/java/com/anger/server	line 243	Java Problem
Access restriction: The method 'Headers.add(String, String)' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 62	Java Problem
Access restriction: The method 'Headers.add(String, String)' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 246	Java Problem
Access restriction: The method 'Headers.add(String, String)' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 247	Java Problem
Access restriction: The method 'Headers.add(String, String)' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 248	Java Problem
Access restriction: The method 'HttpExchange.close()' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 83	Java Problem
Access restriction: The method 'HttpExchange.getRequestBody()' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 68	Java Problem
Access restriction: The method 'HttpExchange.getRequestMethod()' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 130	Java Problem
Access restriction: The method 'HttpExchange.getRequestMethod()' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 146	Java Problem
Access restriction: The method 'HttpExchange.getRequestMethod()' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 173	Java Problem
Access restriction: The method 'HttpExchange.getRequestMethod()' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 242	Java Problem
Access restriction: The method 'HttpExchange.getRequestURI()' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 131	Java Problem
Access restriction: The method 'HttpExchange.getRequestURI()' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 243	Java Problem
Access restriction: The method 'HttpExchange.getResponseBody()' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 64	Java Problem
Access restriction: The method 'HttpExchange.getResponseBody()' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 252	Java Problem
Access restriction: The method 'HttpExchange.getResponseHeaders()' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 62	Java Problem
Access restriction: The method 'HttpExchange.getResponseHeaders()' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 245	Java Problem
Access restriction: The method 'HttpExchange.sendResponseHeaders(int, long)' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 63	Java Problem
Access restriction: The method 'HttpExchange.sendResponseHeaders(int, long)' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 249	Java Problem
Access restriction: The method 'HttpServer.create(InetSocketAddress, int)' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 15	Java Problem
Access restriction: The method 'HttpServer.createContext(String, HttpHandler)' is not API (restriction on required library 'C:\Program Files\Java\jre1.8.0_441\lib\rt.jar')	AngerServer.java	/server/src/main/java/com/anger/server	line 16	Java Problem
